lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_target_zero_return,entry_dates,codes,events,retention_vs_parent_crosses
0,full_period,T+1,1,target_1pct,20130,11351,0.5638847491306508,0.557022580616766,0.5707225388243248,0.005638847491306508,1172,2524,20135,0.35730763770584895
0,full_period,T+1,2,target_2pct,20130,8184,0.4065573770491803,0.3997902892192349,0.4133601231690299,0.008131147540983607,1172,2524,20135,0.35730763770584895
0,full_period,T+1,3,target_3pct,20130,5771,0.28668653750620965,0.2804806077510471,0.29297386901408257,0.008600596125186289,1172,2524,20135,0.35730763770584895
0,full_period,T+1,4,target_4pct,20130,4016,0.19950322901142573,0.19404015987279646,0.20508096959908734,0.007980129160457029,1172,2524,20135,0.35730763770584895
0,full_period,T+1,5,target_5pct,20130,2858,0.1419771485345256,0.13722381808830067,0.14686710274222778,0.007098857426726279,1172,2524,20135,0.35730763770584895
0,full_period,T+1,6,target_6pct,20130,2088,0.10372578241430701,0.09958902256659459,0.10801376298427617,0.006223546944858421,1172,2524,20135,0.35730763770584895
0,full_period,T+1,7,target_7pct,20130,1552,0.07709885742672629,0.07349403123827959,0.08086506533869957,0.005396920019870841,1172,2524,20135,0.35730763770584895
0,full_period,T+1,8,target_8pct,20130,1191,0.059165424739195234,0.05598945948059137,0.06250961523150929,0.004733233979135619,1172,2524,20135,0.35730763770584895
0,full_period,T+1,9,target_9pct,20130,914,0.04540486835568803,0.042614532601166884,0.04836868045838159,0.0040864381520119225,1172,2524,20135,0.35730763770584895
0,full_period,T+1,10,target_10pct,20130,688,0.03417784401390959,0.031755498060716786,0.03677795061804903,0.0034177844013909588,1172,2524,20135,0.35730763770584895
0,full_period,T+1,11,target_11pct,20130,504,0.02503725782414307,0.022967837694347657,0.027287926709798644,0.002754098360655738,1172,2524,20135,0.35730763770584895
0,full_period,T+1,12,target_12pct,20130,360,0.01788375558867362,0.016142792544152167,0.019808697210291912,0.0021460506706408346,1172,2524,20135,0.35730763770584895
0,full_period,T+1,13,target_13pct,20130,258,0.012816691505216096,0.011353124902194655,0.014466170308710355,0.0016661698956780926,1172,2524,20135,0.35730763770584895
0,full_period,T+1,14,target_14pct,20130,191,0.009488325881768504,0.008239537106767846,0.010924296982400713,0.0013283656234475908,1172,2524,20135,0.35730763770584895
0,full_period,T+1,15,target_15pct,20130,144,0.007153502235469449,0.006079639228346088,0.008415438551544663,0.0010730253353204173,1172,2524,20135,0.35730763770584895
0,full_period,T+1,16,target_16pct,20130,110,0.00546448087431694,0.004536173589995691,0.006581506008715368,0.0008743169398907104,1172,2524,20135,0.35730763770584895
0,full_period,T+1,17,target_17pct,20130,80,0.003974167908594138,0.003194610137096462,0.004943012242926635,0.0006756085444610035,1172,2524,20135,0.35730763770584895
0,full_period,T+1,18,target_18pct,20130,56,0.0027819175360158967,0.002143083731010582,0.0036104928740621437,0.0005007451564828614,1172,2524,20135,0.35730763770584895
0,full_period,T+1,19,target_19pct,20130,41,0.0020367610531544958,0.00150180866771753,0.0027617393280112133,0.0003869846000993542,1172,2524,20135,0.35730763770584895
0,full_period,T+1,20,target_20pct,20130,26,0.0012916045702930949,0.0008816078481731207,0.0018919115382116417,0.000258320914058619,1172,2524,20135,0.35730763770584895
0,full_period,T+2,1,target_1pct,20116,12999,0.6462020282362299,0.6395670340626496,0.6527811919790504,0.006462020282362299,1171,2523,20135,0.35730763770584895
0,full_period,T+2,2,target_2pct,20116,10076,0.5008948101014118,0.4939856725141632,0.507803605985922,0.010017896202028236,1171,2523,20135,0.35730763770584895
0,full_period,T+2,3,target_3pct,20116,7680,0.3817856432690396,0.37509507644218953,0.38852135282433115,0.011453569298071186,1171,2523,20135,0.35730763770584895
0,full_period,T+2,4,target_4pct,20116,5782,0.28743288924239413,0.28121981895230397,0.29372713291634295,0.011497315569695766,1171,2523,20135,0.35730763770584895
0,full_period,T+2,5,target_5pct,20116,4385,0.2179856830383774,0.21233415103887057,0.22374490835094088,0.01089928415191887,1171,2523,20135,0.35730763770584895
0,full_period,T+2,6,target_6pct,20116,3343,0.16618612050109366,0.16110576153274825,0.17139395357435278,0.009971167230065619,1171,2523,20135,0.35730763770584895
0,full_period,T+2,7,target_7pct,20116,2592,0.12885265460330086,0.1242934541765257,0.13355358573257578,0.00901968582223106,1171,2523,20135,0.35730763770584895
0,full_period,T+2,8,target_8pct,20116,2082,0.1034997017299662,0.09936563370515045,0.10778518203487011,0.008279976138397297,1171,2523,20135,0.35730763770584895
0,full_period,T+2,9,target_9pct,20116,1644,0.08172598926227878,0.07801962561837224,0.08559207995290821,0.00735533903360509,1171,2523,20135,0.35730763770584895
0,full_period,T+2,10,target_10pct,20116,1268,0.06303440047723205,0.059758690393627384,0.06647697539809536,0.006303440047723205,1171,2523,20135,0.35730763770584895
0,full_period,T+2,11,target_11pct,20116,1012,0.05030821236826407,0.04737252321370106,0.05341562613236537,0.005533903360509048,1171,2523,20135,0.35730763770584895
0,full_period,T+2,12,target_12pct,20116,804,0.03996818452972758,0.03734787326781017,0.0427641689661605,0.0047961821435673095,1171,2523,20135,0.35730763770584895
0,full_period,T+2,13,target_13pct,20116,637,0.03166633525551799,0.02933444035986125,0.0341770735677633,0.004116623583217339,1171,2523,20135,0.35730763770584895
0,full_period,T+2,14,target_14pct,20116,490,0.024358719427321537,0.022317422357325145,0.02658165048627021,0.0034102207198250154,1171,2523,20135,0.35730763770584895
0,full_period,T+2,15,target_15pct,20116,399,0.01983495724796182,0.017997780387890114,0.021855495594163346,0.002975243587194273,1171,2523,20135,0.35730763770584895
0,full_period,T+2,16,target_16pct,20116,306,0.015211771724000796,0.013610564527241185,0.016998105871038692,0.0024338834758401273,1171,2523,20135,0.35730763770584895
0,full_period,T+2,17,target_17pct,20116,242,0.012030224696758799,0.010614074895618757,0.01363271639124704,0.002045138198448996,1171,2523,20135,0.35730763770584895
0,full_period,T+2,18,target_18pct,20116,182,0.009047524358719427,0.007829527459364749,0.010453002160550348,0.0016285543845694968,1171,2523,20135,0.35730763770584895
0,full_period,T+2,19,target_19pct,20116,145,0.007208192483595148,0.006129579870163421,0.008474988388465414,0.001369556571883078,1171,2523,20135,0.35730763770584895
0,full_period,T+2,20,target_20pct,20116,114,0.0056671306422748065,0.004719962308768332,0.00680307075526931,0.0011334261284549614,1171,2523,20135,0.35730763770584895
0,full_period,T+3,1,target_1pct,20114,13977,0.694889131947897,0.6884889538019384,0.7012148800328007,0.006948891319478971,1170,2523,20135,0.35730763770584895
