lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_realized_return,median_realized_return,entry_dates,codes,events,retention_vs_parent_crosses
0,full_period,T+20,1,target_1pct,20030,17482,0.872790813779331,0.8681046618604414,0.8773339962948672,-0.004579486377344578,0.01,1162,2520,20155,0.35762447212463183
0,full_period,T+20,2,target_2pct,20030,16193,0.808437343984024,0.8029284298538953,0.813827968978768,-0.0018912382446454083,0.02,1162,2520,20155,0.35762447212463183
0,full_period,T+20,3,target_3pct,20030,14788,0.7382925611582626,0.7321597947996075,0.7443339396821506,-0.0002886961112545396,0.03,1162,2520,20155,0.35762447212463183
0,full_period,T+20,4,target_4pct,20030,13432,0.6705941088367449,0.6640529852218092,0.6770698077227052,0.0008603751360691989,0.04,1162,2520,20155,0.35762447212463183
0,full_period,T+20,5,target_5pct,20030,12255,0.6118322516225662,0.6050623879503133,0.6185592263884964,0.002115577025647846,0.05,1162,2520,20155,0.35762447212463183
0,full_period,T+20,6,target_6pct,20030,11099,0.554118821767349,0.5472253221688805,0.5609915661986505,0.003038134277890071,0.06,1162,2520,20155,0.35762447212463183
0,full_period,T+20,7,target_7pct,20030,10026,0.5005491762356465,0.4936252839763627,0.5074728578797654,0.003781044168338287,0.07,1162,2520,20155,0.35762447212463183
0,full_period,T+20,8,target_8pct,20030,9125,0.45556665002496255,0.4486787677609653,0.46247157297048974,0.004928810988297361,0.03157230196703875,1162,2520,20155,0.35762447212463183
0,full_period,T+20,9,target_9pct,20030,8236,0.41118322516225664,0.40438655496065745,0.41801395758008264,0.005423089649430942,0.02046280455537952,1162,2520,20155,0.35762447212463183
0,full_period,T+20,10,target_10pct,20030,7442,0.37154268597104345,0.36487588517169606,0.3782587515721624,0.005956454798515008,0.014250789113215423,1162,2520,20155,0.35762447212463183
0,full_period,T+20,11,target_11pct,20030,6770,0.3379930104842736,0.3314737340810138,0.3445744183612018,0.006664573281328892,0.010687071927019898,1162,2520,20155,0.35762447212463183
