lag,horizon,target_pct,n,target_hits,target_hit_rate,mean_realized_return,median_realized_return,entry_dates,codes
4,T+20,20,19035,2988,0.15697399527186762,0.014209198442455743,0.005813953488371881,1161,2436
4,T+20,19,19035,3253,0.17089571841344892,0.013865274040790266,0.006163328197226425,1161,2436
4,T+20,18,19035,3574,0.18775939059627003,0.013632548682481913,0.006664957703153229,1161,2436
4,T+20,17,19035,3885,0.2040977147360126,0.013263035954157093,0.007374631268436627,1161,2436
1,T+20,20,19753,2988,0.15126816179820787,0.01286811522930156,0.0033333333333331883,1159,2497
4,T+20,16,19035,4257,0.22364066193853427,0.012843986898653386,0.008075370121130465,1161,2436
5,T+20,20,18561,2949,0.158881525779861,0.012794522843124479,0.0045486089987467615,1157,2412
1,T+20,19,19753,3260,0.16503822204222143,0.012521973637472315,0.0035419126328217754,1159,2497
4,T+20,15,19035,4651,0.24433937483582874,0.012441511915914862,0.008936170212765937,1161,2436
5,T+20,19,18561,3216,0.17326652658800712,0.012387901707941278,0.004810996563573866,1157,2412
1,T+20,18,19753,3560,0.18022578848782464,0.012238635627792392,0.0038643820389092642,1159,2497
3,T+20,20,19222,2964,0.1541983144313807,0.012171049110063177,0.0034914486371588893,1158,2460
4,T+20,14,19035,5107,0.2682952456002101,0.011998366913441074,0.010344827586207028,1161,2436
7,T+20,20,18246,2909,0.1594322043187548,0.011950806652285489,0.003105620014853039,1158,2368
3,T+20,19,19222,3216,0.16730829258141713,0.011928893319926947,0.004078661208022583,1158,2460
7,T+20,19,18246,3190,0.1748328400745369,0.01187732655347305,0.0036982430610074113,1158,2368
5,T+20,18,18561,3487,0.1878670330262378,0.01185155472570245,0.005141388174807027,1157,2412
1,T+20,17,19753,3887,0.1967802359135321,0.011836196697696285,0.004377736085053208,1159,2497
2,T+20,20,19491,2898,0.14868400800369402,0.011808834947912425,0.0031746031746031633,1161,2475
3,T+20,18,19222,3538,0.1840599313286859,0.011783905767463757,0.004758902654401376,1158,2460
6,T+20,20,18390,2864,0.15573681348559,0.01162079726459952,0.004187527723638396,1161,2380
2,T+20,19,19491,3168,0.16253655533323072,0.011561425394800155,0.0034888791975578037,1161,2475
4,T+20,13,19035,5630,0.29577094825321776,0.011532001294333044,0.012145748987854255,1161,2436
3,T+20,17,19222,3865,0.20107168869004266,0.011531057550576655,0.005412729802973804,1158,2460
7,T+20,18,18246,3454,0.18930176477036062,0.011516483084690351,0.0041039978890516915,1158,2368
1,T+20,16,19753,4259,0.2156128183060801,0.011432195551176196,0.0050675675675675436,1159,2497
5,T+20,17,18561,3792,0.20429933732018749,0.011418706673984152,0.005720228809152461,1157,2412
6,T+20,19,18390,3132,0.1703099510603589,0.011413780290663344,0.00461822835205461,1161,2380
7,T+20,17,18246,3766,0.20640140304724322,0.011293987828235867,0.004651263412945639,1158,2368
2,T+20,18,19491,3435,0.17623518547021702,0.011202068206731825,0.003968253968253954,1161,2475
6,T+20,18,18390,3418,0.18586188145731375,0.011105223710313847,0.005185085034225656,1161,2380
3,T+20,16,19222,4224,0.2197482051815628,0.011089834648852763,0.006048693215182754,1158,2460
5,T+20,16,18561,4139,0.22299445073002533,0.011028637461440352,0.006384676775738285,1157,2412
2,T+20,17,19491,3769,0.19337129957416244,0.010984699160486657,0.0045317220543807935,1161,2475
7,T+20,16,18246,4114,0.22547407650992,0.010966752369118562,0.0055769487107332205,1158,2368
1,T+20,15,19753,4675,0.2366729104439832,0.010949004814114448,0.0058422590068158975,1159,2497
6,T+20,17,18390,3748,0.2038064165307232,0.010771575820110322,0.005683378160969421,1161,2380
6,T+20,16,18390,4140,0.22512234910277323,0.01074969933136313,0.006489996489996486,1161,2380
4,T+20,12,19035,6159,0.3235618597320725,0.010682933038744135,0.013973799126637543,1161,2436
2,T+20,16,19491,4138,0.2123031142578626,0.010658238084847477,0.005296610169491345,1161,2475
3,T+20,15,19222,4615,0.24008948080324627,0.010542431662980451,0.006757641178065876,1158,2460
7,T+20,15,18246,4487,0.24591691329606488,0.010500219496884724,0.006402731905159498,1158,2368
5,T+20,15,18561,4534,0.24427563170087818,0.01046540736905624,0.007366482504604033,1157,2412
1,T+20,14,19753,5136,0.2600111375487268,0.010422020022690123,0.007207207207207134,1159,2497
2,T+20,15,19491,4540,0.23292801805961727,0.010339615759036209,0.006134969325153339,1161,2475
6,T+20,15,18390,4531,0.24638390429581294,0.010257238045199393,0.007363094058189801,1161,2380
7,T+20,14,18246,4926,0.26997698125616576,0.010053496470922376,0.0077282829104279305,1158,2368
1,T+20,13,19753,5661,0.28658937882853236,0.010037952130169107,0.00874125874125875,1159,2497
4,T+20,11,19035,6770,0.35566062516417124,0.01002163031910746,0.017048222113979605,1161,2436
0,T+20,20,20028,2969,0.1482424605552227,0.009978516148378766,0.0,1161,2519
6,T+20,14,18390,4973,0.27041870581837957,0.009935912739983933,0.008750196188846981,1161,2380
2,T+20,14,19491,4989,0.2559642912113283,0.009864035138549871,0.007425742574257432,1161,2475
3,T+20,14,19222,5034,0.2618874206638227,0.00983261676703291,0.007991283291955975,1158,2460
5,T+20,14,18561,4928,0.2655029362642099,0.009764317708297113,0.008695652173912993,1157,2412
2,T+20,13,19491,5554,0.2849520291416551,0.009663270749417386,0.009146341463414531,1161,2475
0,T+20,19,20028,3215,0.16052526462951866,0.00958555870992196,0.0,1161,2519
7,T+20,13,18246,5405,0.2962293105338156,0.009517478457477066,0.009544316277939835,1158,2368
6,T+20,13,18390,5464,0.29711799891245244,0.009467151001292903,0.01034785238959468,1161,2380
3,T+20,13,19222,5555,0.28899178025179484,0.009396572795347545,0.009810796688942025,1158,2460
0,T+20,18,20028,3507,0.17510485320551228,0.009360946164402398,0.0005089444708822333,1161,2519
5,T+20,13,18561,5440,0.2930876569150369,0.009347956098692064,0.010619469026548645,1157,2412
1,T+20,12,19753,6213,0.3145345010884423,0.009281821384206182,0.010494752623688042,1159,2497
4,T+20,10,19035,7444,0.3910690832676648,0.009242498285598201,0.021666666666666723,1161,2436
0,T+20,17,20028,3855,0.19248052726183343,0.00911317251594892,0.0011442606295789526,1161,2519
2,T+20,12,19491,6102,0.31306756964752963,0.009020263259345988,0.011406844106463865,1161,2475
7,T+20,12,18246,5917,0.32429025539844347,0.008902882555539495,0.01145624481865759,1158,2368
3,T+20,12,19222,6083,0.31646030589949015,0.008900772563473701,0.012281152612140911,1158,2460
0,T+20,16,20028,4248,0.2121030557219892,0.008883786295337972,0.0017937234158929005,1161,2519
6,T+20,12,18390,5963,0.32425231103860797,0.008779440109534013,0.012283117307885005,1161,2380
5,T+20,12,18561,5973,0.321803782123808,0.008701163587802969,0.012820512820512775,1157,2412
0,T+20,15,20028,4664,0.23287397643299382,0.008536500975143396,0.0027361061204933534,1161,2519
1,T+20,11,19753,6820,0.3452640105300461,0.008441035040904953,0.012948207171314952,1159,2497
4,T+20,9,19035,8192,0.43036511688993956,0.008424270796353949,0.02871500358937551,1161,2436
7,T+20,11,18246,6495,0.3559684314370273,0.008403742053233913,0.014823971066245445,1158,2368
3,T+20,11,19222,6678,0.34741442097596503,0.008256725477240288,0.015270475394328686,1158,2460
2,T+20,11,19491,6660,0.3416961674619055,0.00821797703269169,0.014018691588784993,1161,2475
6,T+20,11,18390,6537,0.35546492659053835,0.008129558095660397,0.015284190802961395,1161,2380
0,T+20,14,20028,5093,0.2542939884162173,0.008122886247224206,0.003957785363242983,1161,2519
5,T+20,11,18561,6574,0.354183503044017,0.00810677746220969,0.01588983050847448,1157,2412
2,T+20,10,19491,7411,0.3802267713303576,0.007888306558262701,0.018318459370596507,1161,2475
1,T+20,10,19753,7506,0.37999291246899203,0.007884483028429562,0.01702786377708998,1159,2497
7,T+20,10,18246,7121,0.39027732105666996,0.0075782259313133165,0.018585201784041216,1158,2368
0,T+20,13,20028,5565,0.2778609946075494,0.007562619005397111,0.0054008873109533395,1161,2519
